Date,timeRange1,timeRange2,timeRange3,Physical,Telephone,bar associatif, Doc. Associatives, infos touristiques,docs  infos  santé,activités  Pôle Santé,Activités  Pôle Culture,Autres activités,événements hors pôles,Activités des associations,Autres
01/01/2019,,,,,,,,,,,,,,,
01/01/2019,,,,,,,,,,,,,,,
02/01/2019,,1,,12,1,7,3,,1,,,1,,1,
02/01/2019,,,1,13,,,3,,4,,1,,,4,1
03/01/2019,,1,,52,3,8,15,2,2,,,2,,25,
03/01/2019,,,1,20,,,4,,5,,,1,,10,
04/01/2019,,1,,12,3,,6,1,3,,1,,,3,2
04/01/2019,,,1,21,1,,,,,,,,,21,
05/01/2019,1,,,55,3,1,4,,4,2,,2,2,43,
05/01/2019,,1,,12,,,3,,1,,,,,8,
05/01/2019,,,1,6,2,,4,,,,1,1,,2,
06/01/2019,,,,,,,,,,,,,,,
07/01/2019,,1,,11,7,5,3,,,,,,,10,
07/01/2019,,,1,53,2,1,,,,1,,23,,28,
08/01/2019,,1,,7,11,,7,,,,,2,1,8,
08/01/2019,,,1,21,4,,4,,,,2,4,2,16,
09/01/2019,,1,,44,9,3,8,,1,,1,10,,31,1
09/01/2019,,,1,20,,,,,,,1,,,18,1
10/01/2019,,1,,12,6,5,12,,,,,,,6,
10/01/2019,,,1,37,3,,4,,,,27,,3,6,
11/01/2019,,1,,15,,,3,,1,,1,,,2,8
11/01/2019,,,1,17,1,1,,,1,,,7,,9,
12/01/2019,1,,,20,1,1,,,1,,,3,,16,
12/01/2019,,1,,19,1,11,1,,,,,,,8,
12/01/2019,,,1,42,1,8,2,,2,2,1,,10,17,
13/01/2019,,,,,,,,,,,,,,,
14/01/2019,,1,,13,3,2,3,,1,1,,1,1,7,
14/01/2019,,,1,49,,6,,,,,3,30,,10,1
15/01/2019,,1,,9,7,,9,1,,,,,1,7,
15/01/2019,,,1,36,1,2,2,,,,9,2,,28,
16/01/2019,,1,,12,2,3,,,,,,,,11,
16/01/2019,,,1,36,1,3,,2,,,8,3,,18,3
17/01/2019,,1,,19,13,1,11,4,,2,,2,,13,1
17/01/2019,,,1,65,2,,,,,,,,,65,
18/01/2019,,1,,23,5,4,5,,1,,,,,12,3
18/01/2019,,,1,48,3,,1,,,,,4,,43,3
19/01/2019,1,,,24,3,6,,,,,,,1,22,
19/01/2019,,1,,29,4,8,5,,,2,,1,,14,3
19/01/2019,,,1,12,,3,3,,3,,,,1,2,
20/01/2019,,,,,,,,,,,,,,,
21/01/2019,,1,,15,2,5,4,,,,1,2,1,3,1
